packet_id,lap_count,total_laps,pos_x,pos_y,pos_z,vx,vy,vz,speed_kmh,rotation_x,rotation_y,rotation_z,orientation,ang_vel_x,yaw_rate,ang_vel_z,body_height,throttle_pct,brake_pct,clutch_pedal,clutch_engagement,wheel_rotation_radians,sway,heave,surge,engine_rpm,boost_pressure,oil_pressure,water_temp,oil_temp,fuel_remaining,fuel_capacity,gear,suggested_gear,trans_rpm,trans_top_speed,gear1,gear2,gear3,gear4,gear5,gear6,gear7,gear8,tyre_temp_fl,tyre_temp_fr,tyre_temp_rl,tyre_temp_rr,tyre_radius_fl,tyre_radius_fr,tyre_radius_rl,tyre_radius_rr,wheel_rad_s_fl,wheel_rad_s_fr,wheel_rad_s_rl,wheel_rad_s_rr,sus_height_fl,sus_height_fr,sus_height_rl,sus_height_rr,best_lap_ms,last_lap_ms,time_of_day_ms,race_start_pos,total_cars,min_alert_rpm,max_alert_rpm,calc_max_speed,car_code,is_on_track,is_paused,is_loading,in_gear,has_turbo,rev_limit,hand_brake_active,asm_active,tcs_active,road_plane_dist,lat_g,lon_g
8623,1,0,-4.0453,19.3868,-189.2897,57.2915,0.0127,-46.1097,264.75,0.006057,-0.431802,-0.007305,0.901919,0.0022,-0.0005,0.0007,0.0327,100.0,0.0,0.0,1.0,0.000595,-0.099125,-0.088568,1.450933,6821.0,1.9811,6.7458,85.0,110.0,100.0,100.0,6,15,6821.0,2.79,2.276,1.755,1.442,1.21,1.021,0.874,0.0,0.0,60.4,59.1,65.9,65.0,0.325,0.325,0.325,0.325,226.2858,226.2835,233.4436,233.4436,0.2751,0.2755,0.2818,0.2818,-1,-1,23422600,1,1,7500,8000,302,3352,1,0,0,1,1,0,0,0,0,-16.5753,-0.0035,0.1513
8624,1,0,-3.0891,19.3869,-190.0592,57.3109,0.0074,-46.1238,264.83,0.00605,-0.431806,-0.007248,0.901917,0.0022,-0.0006,0.0065,0.0325,100.0,0.0,0.0,1.0,0.000595,-0.092758,-0.323196,1.416271,6823.0,1.9811,6.7462,85.0,110.0,100.0,100.0,6,15,6823.0,2.79,2.276,1.755,1.442,1.21,1.021,0.874,0.0,0.0,60.4,59.1,65.9,65.0,0.325,0.325,0.325,0.325,226.36,226.3573,233.5126,233.5126,0.2751,0.2755,0.2821,0.282,-1,-1,23422616,1,1,7500,8000,302,3352,1,0,0,1,1,0,0,0,0,-16.5992,-0.0042,0.147
8625,1,0,-2.1326,19.387,-190.8289,57.3309,0.0067,-46.1388,264.92,0.006031,-0.431812,-0.007193,0.901915,0.0007,-0.0006,0.0069,0.0324,100.0,0.0,0.0,1.0,0.000595,-0.12287,-0.05081,1.471509,6823.0,1.9811,6.7466,85.0,110.0,100.0,100.0,6,15,6823.0,2.79,2.276,1.755,1.442,1.21,1.021,0.874,0.0,0.0,60.4,59.1,65.9,65.0,0.325,0.325,0.325,0.325,226.4356,226.4327,233.5279,233.5279,0.2751,0.2757,0.282,0.2822,-1,-1,23422633,1,1,7500,8000,302,3352,1,0,0,1,1,0,0,0,0,-16.639,-0.0048,0.153
8626,1,0,-1.1758,19.3871,-191.5988,57.3501,0.0058,-46.1533,265.01,0.005982,-0.431816,-0.007084,0.901914,0.0004,-0.0005,0.0143,0.0322,100.0,0.0,0.0,1.0,0.000595,-0.127781,-0.059749,1.416968,6824.0,1.9813,6.7471,85.0,110.0,100.0,100.0,6,15,6824.0,2.79,2.276,1.755,1.442,1.21,1.021,0.874,0.0,0.0,60.4,59.1,66.0,65.0,0.325,0.325,0.325,0.325,226.509,226.5065,233.5885,233.5885,0.2755,0.2759,0.2822,0.2822,-1,-1,23422650,1,1,7500,8000,302,3352,1,0,0,1,1,0,0,0,0,-16.6448,-0.004,0.1471
8627,1,0,-0.2187,19.3873,-192.369,57.3694,0.0096,-46.1682,265.1,0.005938,-0.431823,-0.006987,0.901912,0.0002,-0.0007,0.0128,0.0321,100.0,0.0,0.0,1.0,0.000595,-0.147647,0.220731,1.432199,6826.0,1.9814,6.7475,85.0,110.0,100.0,100.0,6,15,6826.0,2.79,2.276,1.755,1.442,1.21,1.021,0.874,0.0,0.0,60.4,59.1,66.0,65.0,0.325,0.325,0.325,0.325,226.5841,226.5809,233.6428,233.6428,0.2755,0.276,0.2823,0.2824,-1,-1,23422666,1,1,7500,8000,302,3352,1,0,0,1,1,0,0,0,0,-16.6903,-0.0052,0.1489
8628,1,0,0.7388,19.3874,-193.1394,57.3888,0.011,-46.1831,265.19,0.00585,-0.431828,-0.006878,0.901911,-0.0039,-0.0007,0.0163,0.0318,100.0,0.0,0.0,1.0,0.000595,-0.138805,0.078454,1.435218,6828.0,1.9815,6.7479,85.0,110.0,100.0,100.0,6,15,6828.0,2.79,2.276,1.755,1.442,1.21,1.021,0.874,0.0,0.0,60.4,59.1,66.0,65.0,0.325,0.325,0.325,0.325,226.6552,226.6519,233.7078,233.7078,0.276,0.276,0.2825,0.2824,-1,-1,23422683,1,1,7500,8000,302,3352,1,0,0,1,1,0,0,0,0,-16.6908,-0.0056,0.1497
8629,1,0,1.6966,19.3877,-193.9101,57.4082,0.0169,-46.1982,265.28,0.005795,-0.431834,-0.006839,0.901909,-0.0038,-0.0008,0.007,0.0319,100.0,0.0,0.0,1.0,0.000595,-0.156975,0.348684,1.445961,6830.0,1.9815,6.7484,85.0,110.0,100.0,100.0,6,15,6830.0,2.79,2.276,1.755,1.442,1.21,1.021,0.874,0.0,0.0,60.4,59.1,66.0,65.0,0.325,0.325,0.325,0.325,226.7309,226.7276,233.7668,233.7668,0.2758,0.276,0.2823,0.2824,-1,-1,23422700,1,1,7500,8000,302,3352,1,0,0,1,1,0,0,0,0,-16.7395,-0.0059,0.1503
8630,1,0,2.6547,19.388,-194.6811,57.4272,0.0153,-46.2123,265.36,0.005732,-0.431839,-0.006761,0.901907,-0.0028,-0.0007,0.0117,0.0319,100.0,0.0,0.0,1.0,0.000595,-0.11633,-0.104158,1.381764,6833.0,1.9815,6.7488,85.0,110.0,100.0,100.0,6,15,6833.0,2.79,2.276,1.755,1.442,1.21,1.021,0.874,0.0,0.0,60.4,59.1,66.0,65.0,0.325,0.325,0.325,0.325,226.8044,226.8013,233.878,233.878,0.2758,0.2759,0.2826,0.2823,-1,-1,23422716,1,1,7500,8000,302,3352,1,0,0,1,1,0,0,0,0,-16.7397,-0.0053,0.1443
8631,1,0,3.6131,19.3883,-195.4523,57.4466,0.0168,-46.2268,265.45,0.005714,-0.431847,-0.006749,0.901904,-0.0013,-0.0011,0.0022,0.0321,100.0,0.0,0.0,1.0,0.000595,-0.118864,0.085974,1.433043,6835.0,1.9814,6.7492,85.0,110.0,100.0,100.0,6,15,6835.0,2.79,2.276,1.755,1.442,1.21,1.021,0.874,0.0,0.0,60.4,59.1,66.0,65.0,0.325,0.325,0.325,0.325,226.8814,226.8767,233.9383,233.9383,0.2756,0.2758,0.2823,0.2823,-1,-1,23422733,1,1,7500,8000,302,3352,1,0,0,1,1,0,0,0,0,-16.7777,-0.008,0.1484
8632,1,0,4.5718,19.3885,-196.2237,57.4655,0.0119,-46.2405,265.53,0.005683,-0.431852,-0.006702,0.901902,-0.0009,-0.0007,0.0066,0.0322,100.0,0.0,0.0,1.0,0.000595,-0.101216,-0.298636,1.365662,6839.0,1.9814,6.7497,85.0,110.0,100.0,100.0,6,15,6839.0,2.79,2.276,1.755,1.442,1.21,1.021,0.874,0.0,0.0,60.4,59.1,66.0,65.0,0.325,0.325,0.325,0.325,226.9528,226.9496,234.0513,234.0513,0.2757,0.2756,0.2823,0.2822,-1,-1,23422750,1,1,7500,8000,302,3352,1,0,0,1,1,0,0,0,0,-16.7706,-0.0054,0.1426
8633,1,0,5.5308,19.3886,-196.9954,57.4845,0.0094,-46.2548,265.62,0.00567,-0.431858,-0.006722,0.901899,-0.0024,-0.0008,-0.0014,0.0321,100.0,0.0,0.0,1.0,0.000595,-0.11589,-0.154911,1.397688,6841.0,1.9812,6.7501,85.0,110.0,100.0,100.0,6,15,6841.0,2.79,2.276,1.755,1.442,1.21,1.021,0.874,0.0,0.0,60.4,59.1,66.0,65.0,0.325,0.325,0.325,0.325,227.0242,227.0211,234.1275,234.1275,0.2757,0.276,0.2821,0.2822,-1,-1,23422766,1,1,7500,8000,302,3352,1,0,0,1,1,0,0,0,0,-16.7853,-0.0057,0.1452
8634,1,0,6.4902,19.3888,-197.7673,57.5031,0.0081,-46.2682,265.7,0.005653,-0.431861,-0.006669,0.901898,0.0009,-0.0004,0.0066,0.0321,100.0,0.0,0.0,1.0,0.000595,-0.08841,-0.084238,1.340118,6844.0,1.981,6.7506,85.0,110.0,100.0,100.0,6,15,6844.0,2.79,2.276,1.755,1.442,1.21,1.021,0.874,0.0,0.0,60.4,59.1,66.0,65.0,0.325,0.325,0.325,0.325,227.0975,227.0956,234.2326,234.2326,0.2757,0.2761,0.2822,0.282,-1,-1,23422783,1,1,7500,8000,302,3352,1,0,0,1,1,0,0,0,0,-16.7819,-0.0031,0.1401
8635,1,0,7.4499,19.3889,-198.5394,57.5218,0.006,-46.2821,265.78,0.005655,-0.431868,-0.006627,0.901895,0.0024,-0.0008,0.0046,0.0319,100.0,0.0,0.0,1.0,0.000595,-0.105165,-0.131306,1.368519,6846.0,1.9808,6.751,85.0,110.0,100.0,100.0,6,15,6846.0,2.79,2.276,1.755,1.442,1.21,1.021,0.874,0.0,0.0,60.4,59.1,66.0,65.0,0.325,0.325,0.325,0.325,227.1715,227.1679,234.2998,234.2998,0.2757,0.2762,0.2823,0.2824,-1,-1,23422800,1,1,7500,8000,302,3352,1,0,0,1,1,0,0,0,0,-16.8336,-0.0058,0.1423
8636,1,0,8.4099,19.389,-199.3117,57.5412,0.0065,-46.2967,265.87,0.005631,-0.431872,-0.006535,0.901893,0.0022,-0.0006,0.0111,0.0319,100.0,0.0,0.0,1.0,0.000595,-0.115241,0.027088,1.425945,6847.0,1.9807,6.7514,85.0,110.0,100.0,100.0,6,15,6847.0,2.79,2.276,1.755,1.442,1.21,1.021,0.874,0.0,0.0,60.4,59.1,66.0,65.0,0.325,0.325,0.325,0.325,227.2456,227.2428,234.3124,234.3124,0.2756,0.276,0.2825,0.2825,-1,-1,23422816,1,1,7500,8000,302,3352,1,0,0,1,1,0,0,0,0,-16.8712,-0.0043,0.1485
8637,1,0,9.3702,19.389,-200.0843,57.5598,0.0039,-46.3111,265.96,0.005592,-0.431878,-0.006444,0.901892,0.0005,-0.0006,0.0119,0.0317,100.0,0.0,0.0,1.0,0.000595,-0.130097,-0.160404,1.385579,6847.0,1.9808,6.7519,85.0,110.0,100.0,100.0,6,15,6847.0,2.79,2.276,1.755,1.442,1.21,1.021,0.874,0.0,0.0,60.4,59.1,66.0,65.0,0.325,0.325,0.325,0.325,227.3163,227.3135,234.3566,234.3566,0.2757,0.2762,0.2826,0.2827,-1,-1,23422833,1,1,7500,8000,302,3352,1,0,0,1,1,0,0,0,0,-16.9002,-0.0045,0.144
8638,1,0,10.3309,19.3891,-200.8571,57.5786,0.006,-46.3255,266.04,0.00555,-0.431883,-0.006337,0.90189,0.0009,-0.0006,0.0138,0.0318,100.0,0.0,0.0,1.0,0.000595,-0.130017,0.117488,1.388867,6848.0,1.981,6.7523,85.0,110.0,100.0,100.0,6,15,6848.0,2.79,2.276,1.755,1.442,1.21,1.021,0.874,0.0,0.0,60.4,59.1,66.0,65.0,0.325,0.325,0.325,0.325,227.3896,227.3868,234.3985,234.3985,0.2757,0.2761,0.2825,0.2825,-1,-1,23422850,1,1,7500,8000,302,3352,1,0,0,1,1,0,0,0,0,-16.918,-0.0044,0.1449
8639,1,0,11.2918,19.3892,-201.6302,57.5967,0.0047,-46.3396,266.12,0.005522,-0.43189,-0.006233,0.901888,0.0024,-0.0007,0.0126,0.0317,100.0,0.0,0.0,1.0,0.000595,-0.128591,-0.086953,1.347868,6850.0,1.9811,6.7527,85.0,110.0,100.0,100.0,6,15,6850.0,2.79,2.276,1.755,1.442,1.21,1.021,0.874,0.0,0.0,60.4,59.1,66.0,65.0,0.325,0.325,0.325,0.325,227.4619,227.4584,234.4852,234.4852,0.2759,0.276,0.2827,0.2827,-1,-1,23422866,1,1,7500,8000,302,3352,1,0,0,1,1,0,0,0,0,-16.9351,-0.0053,0.14
8640,1,0,12.2531,19.3893,-202.4035,57.6158,0.0085,-46.3543,266.21,0.00551,-0.431894,-0.006154,0.901886,0.0028,-0.0006,0.0092,0.0318,100.0,0.0,0.0,1.0,0.000595,-0.129479,0.222034,1.418217,6852.0,1.9812,6.7531,85.0,110.0,100.0,100.0,6,15,6852.0,2.79,2.276,1.755,1.442,1.21,1.021,0.874,0.0,0.0,60.4,59.1,66.0,65.0,0.325,0.325,0.325,0.325,227.5362,227.5333,234.5309,234.5309,0.2757,0.276,0.2827,0.2827,-1,-1,23422883,1,1,7500,8000,302,3352,1,0,0,1,1,0,0,0,0,-16.9703,-0.0043,0.1477
