packet_id,lap_count,total_laps,pos_x,pos_y,pos_z,vx,vy,vz,speed_kmh,rotation_x,rotation_y,rotation_z,orientation,ang_vel_x,yaw_rate,ang_vel_z,body_height,throttle_pct,brake_pct,clutch_pedal,clutch_engagement,wheel_rotation_radians,sway,heave,surge,engine_rpm,boost_pressure,oil_pressure,water_temp,oil_temp,fuel_remaining,fuel_capacity,gear,suggested_gear,trans_rpm,trans_top_speed,gear1,gear2,gear3,gear4,gear5,gear6,gear7,gear8,tyre_temp_fl,tyre_temp_fr,tyre_temp_rl,tyre_temp_rr,tyre_radius_fl,tyre_radius_fr,tyre_radius_rl,tyre_radius_rr,wheel_rad_s_fl,wheel_rad_s_fr,wheel_rad_s_rl,wheel_rad_s_rr,sus_height_fl,sus_height_fr,sus_height_rl,sus_height_rr,best_lap_ms,last_lap_ms,time_of_day_ms,race_start_pos,total_cars,min_alert_rpm,max_alert_rpm,calc_max_speed,car_code,is_on_track,is_paused,is_loading,in_gear,has_turbo,rev_limit,hand_brake_active,asm_active,tcs_active,road_plane_dist,lat_g,lon_g
68573,7,0,-4.2748,19.3847,-189.0443,56.5075,0.0224,-45.3645,260.87,0.006004,-0.432282,-0.007417,0.901688,-0.0023,0.0014,-0.0001,0.0316,100.0,0.0,0.0,1.0,0.00238,-0.26125,0.043068,1.416008,6720.0,1.9837,6.7257,85.0,110.0,100.0,100.0,6,15,6720.0,2.79,2.276,1.755,1.442,1.21,1.021,0.874,0.0,0.0,83.2,77.0,87.6,84.6,0.325,0.325,0.325,0.325,222.96,222.967,229.9812,229.9812,0.276,0.2765,0.2825,0.2827,99369,99369,24049500,1,2,7500,8000,302,3352,1,0,0,1,1,0,0,0,0,-16.5769,0.0104,0.1468
68574,7,0,-3.3318,19.3849,-189.8014,56.5244,0.0146,-45.3797,260.95,0.005976,-0.432271,-0.007375,0.901694,-0.0009,0.0013,0.006,0.0315,100.0,0.0,0.0,1.0,0.00238,-0.235545,-0.471555,1.332678,6724.0,1.9836,6.7262,85.0,110.0,100.0,100.0,6,15,6724.0,2.79,2.276,1.755,1.442,1.21,1.021,0.874,0.0,0.0,83.2,77.0,87.6,84.6,0.325,0.325,0.325,0.325,223.0319,223.038,230.1097,230.1097,0.2759,0.2766,0.2826,0.2827,99369,99369,24049516,1,2,7500,8000,302,3352,1,0,0,1,1,0,0,0,0,-16.6036,0.0095,0.1391
68575,7,0,-2.3885,19.3852,-190.5587,56.5428,0.015,-45.3963,261.04,0.005931,-0.432264,-0.00732,0.901698,-0.0021,0.001,0.0083,0.0316,100.0,0.0,0.0,1.0,0.00238,-0.263877,0.01027,1.45759,6725.0,1.9835,6.7267,85.0,110.0,100.0,100.0,6,15,6725.0,2.79,2.276,1.755,1.442,1.21,1.021,0.874,0.0,0.0,83.2,77.0,87.6,84.6,0.325,0.325,0.325,0.325,223.1071,223.1122,230.1504,230.1504,0.276,0.2767,0.2824,0.2826,99369,99369,24049533,1,2,7500,8000,302,3352,1,0,0,1,1,0,0,0,0,-16.6247,0.0076,0.151
68576,7,0,-1.4448,19.3854,-191.3163,56.5601,0.0139,-45.4125,261.12,0.005891,-0.432255,-0.007219,0.901703,0.0009,0.0011,0.0129,0.0315,100.0,0.0,0.0,1.0,0.00238,-0.276936,-0.072977,1.389071,6728.0,1.9835,6.7271,85.0,110.0,100.0,100.0,6,15,6728.0,2.79,2.276,1.755,1.442,1.21,1.021,0.874,0.0,0.0,83.2,77.0,87.6,84.6,0.325,0.325,0.325,0.325,223.183,223.1882,230.263,230.263,0.2763,0.2767,0.2823,0.2826,99369,99369,24049550,1,2,7500,8000,302,3352,1,0,0,1,1,0,0,0,0,-16.6259,0.0085,0.1449
68577,7,0,-0.5009,19.3857,-192.0742,56.578,0.0167,-45.4295,261.21,0.005878,-0.432247,-0.007141,0.901708,0.0026,0.0013,0.0091,0.0314,100.0,0.0,0.0,1.0,0.00238,-0.300347,0.162545,1.449718,6730.0,1.9834,6.7276,85.0,110.0,100.0,100.0,6,15,6730.0,2.79,2.276,1.755,1.442,1.21,1.021,0.874,0.0,0.0,83.2,77.0,87.6,84.6,0.325,0.325,0.325,0.325,223.2598,223.2658,230.333,230.333,0.276,0.2768,0.2824,0.2827,99369,99369,24049567,1,2,7500,8000,302,3352,1,0,0,1,1,0,0,0,0,-16.6777,0.0097,0.1501
68578,7,0,0.4434,19.386,-192.8323,56.5967,0.0182,-45.4464,261.3,0.005836,-0.432239,-0.007015,0.901713,0.0019,0.0011,0.0158,0.0314,100.0,0.0,0.0,1.0,0.00238,-0.260038,0.082317,1.478891,6732.0,1.9833,6.728,85.0,110.0,100.0,100.0,6,15,6732.0,2.79,2.276,1.755,1.442,1.21,1.021,0.874,0.0,0.0,83.2,77.0,87.6,84.6,0.325,0.325,0.325,0.325,223.3372,223.3421,230.3885,230.3885,0.2762,0.2765,0.2827,0.2826,99369,99369,24049584,1,2,7500,8000,302,3352,1,0,0,1,1,0,0,0,0,-16.6761,0.0082,0.1541
68579,7,0,1.388,19.3863,-193.5908,56.615,0.0194,-45.4634,261.39,0.005824,-0.432235,-0.00697,0.901715,0.0011,0.0008,0.0055,0.0315,100.0,0.0,0.0,1.0,0.00238,-0.283035,0.06011,1.471645,6734.0,1.9832,6.7285,85.0,110.0,100.0,100.0,6,15,6734.0,2.79,2.276,1.755,1.442,1.21,1.021,0.874,0.0,0.0,83.2,77.0,87.6,84.6,0.325,0.325,0.325,0.325,223.4138,223.4173,230.4537,230.4537,0.2761,0.2764,0.2825,0.2829,99369,99369,24049600,1,2,7500,8000,302,3352,1,0,0,1,1,0,0,0,0,-16.7213,0.0056,0.1525
68580,7,0,2.3328,19.3866,-194.3495,56.6333,0.0191,-45.48,261.48,0.005799,-0.432226,-0.006892,0.90172,0.0012,0.0011,0.0097,0.0316,100.0,0.0,0.0,1.0,0.00238,-0.257961,-0.026868,1.449955,6736.0,1.9832,6.7289,85.0,110.0,100.0,100.0,6,15,6736.0,2.79,2.276,1.755,1.442,1.21,1.021,0.874,0.0,0.0,83.2,77.0,87.6,84.6,0.325,0.325,0.325,0.325,223.489,223.4941,230.5363,230.5363,0.276,0.2762,0.2826,0.2826,99369,99369,24049616,1,2,7500,8000,302,3352,1,0,0,1,1,0,0,0,0,-16.7198,0.0081,0.1508
68581,7,0,3.278,19.3869,-195.1085,56.6514,0.0162,-45.4963,261.57,0.005801,-0.43222,-0.006878,0.901723,0.0009,0.001,0.0014,0.0317,100.0,0.0,0.0,1.0,0.00238,-0.251997,-0.180066,1.429499,6739.0,1.9832,6.7294,85.0,110.0,100.0,100.0,6,15,6739.0,2.79,2.276,1.755,1.442,1.21,1.021,0.874,0.0,0.0,83.2,77.0,87.6,84.6,0.325,0.325,0.325,0.325,223.5634,223.5682,230.6316,230.6316,0.2757,0.2763,0.2825,0.2826,99369,99369,24049633,1,2,7500,8000,302,3352,1,0,0,1,1,0,0,0,0,-16.7585,0.0073,0.1484
68582,7,0,4.2235,19.3871,-195.8678,56.6698,0.0136,-45.5121,261.66,0.005783,-0.432213,-0.006798,0.901727,0.0022,0.0009,0.0096,0.0319,100.0,0.0,0.0,1.0,0.00238,-0.219247,-0.162535,1.425388,6741.0,1.9831,6.7298,85.0,110.0,100.0,100.0,6,15,6741.0,2.79,2.276,1.755,1.442,1.21,1.021,0.874,0.0,0.0,83.2,77.0,87.6,84.6,0.325,0.325,0.325,0.325,223.6399,223.644,230.7083,230.7083,0.2757,0.2758,0.2826,0.2825,99369,99369,24049650,1,2,7500,8000,302,3352,1,0,0,1,1,0,0,0,0,-16.747,0.0068,0.1487
68583,7,0,5.1692,19.3872,-196.6274,56.6873,0.0059,-45.5285,261.74,0.0058,-0.432207,-0.006816,0.90173,0.0009,0.001,-0.0029,0.0317,100.0,0.0,0.0,1.0,0.00238,-0.259873,-0.469097,1.401166,6743.0,1.983,6.7303,85.0,110.0,100.0,100.0,6,15,6743.0,2.79,2.276,1.755,1.442,1.21,1.021,0.874,0.0,0.0,83.2,77.0,87.6,84.6,0.325,0.325,0.325,0.325,223.7116,223.7164,230.7834,230.7834,0.2757,0.2762,0.2824,0.2829,99369,99369,24049666,1,2,7500,8000,302,3352,1,0,0,1,1,0,0,0,0,-16.7919,0.0075,0.1458
