packet_id,lap_count,total_laps,pos_x,pos_y,pos_z,vx,vy,vz,speed_kmh,rotation_x,rotation_y,rotation_z,orientation,ang_vel_x,yaw_rate,ang_vel_z,body_height,throttle_pct,brake_pct,clutch_pedal,clutch_engagement,wheel_rotation_radians,sway,heave,surge,engine_rpm,boost_pressure,oil_pressure,water_temp,oil_temp,fuel_remaining,fuel_capacity,gear,suggested_gear,trans_rpm,trans_top_speed,gear1,gear2,gear3,gear4,gear5,gear6,gear7,gear8,tyre_temp_fl,tyre_temp_fr,tyre_temp_rl,tyre_temp_rr,tyre_radius_fl,tyre_radius_fr,tyre_radius_rl,tyre_radius_rr,wheel_rad_s_fl,wheel_rad_s_fr,wheel_rad_s_rl,wheel_rad_s_rr,sus_height_fl,sus_height_fr,sus_height_rl,sus_height_rr,best_lap_ms,last_lap_ms,time_of_day_ms,race_start_pos,total_cars,min_alert_rpm,max_alert_rpm,calc_max_speed,car_code,is_on_track,is_paused,is_loading,in_gear,has_turbo,rev_limit,hand_brake_active,asm_active,tcs_active,road_plane_dist,lat_g,lon_g
14673,2,0,-3.7624,19.3814,-189.1659,57.3908,0.0192,-46.0071,264.8,0.006036,-0.432625,-0.00736,0.901524,0.0009,0.0006,0.0077,0.0322,100.0,0.0,0.0,1.0,0.001785,-0.205963,-0.078841,1.423725,6820.0,1.9818,6.7459,85.0,110.0,100.0,100.0,6,15,6820.0,2.79,2.276,1.755,1.442,1.21,1.021,0.874,0.0,0.0,69.1,68.2,77.1,75.3,0.325,0.325,0.325,0.325,226.3229,226.3255,233.423,233.423,0.2754,0.276,0.2821,0.2822,100834,100834,23523433,1,1,7500,8000,302,3352,1,0,0,1,1,0,0,0,0,-16.5839,0.0042,0.1489
14674,2,0,-2.8046,19.3818,-189.9337,57.4096,0.0195,-46.023,264.88,0.006008,-0.432622,-0.00728,0.901526,0.0011,0.0004,0.0101,0.0324,100.0,0.0,0.0,1.0,0.001785,-0.210717,0.010528,1.453635,6823.0,1.9816,6.7463,85.0,110.0,100.0,100.0,6,15,6823.0,2.79,2.276,1.755,1.442,1.21,1.021,0.874,0.0,0.0,69.1,68.2,77.1,75.3,0.325,0.325,0.325,0.325,226.399,226.4011,233.507,233.507,0.2753,0.2757,0.282,0.2821,100834,100834,23523450,1,1,7500,8000,302,3352,1,0,0,1,1,0,0,0,0,-16.6042,0.0033,0.1504
14675,2,0,-1.8464,19.382,-190.7018,57.428,0.0159,-46.039,264.97,0.005976,-0.432619,-0.007215,0.901528,-0.0,0.0004,0.0087,0.0323,100.0,0.0,0.0,1.0,0.001785,-0.22646,-0.226457,1.426396,6826.0,1.9815,6.7468,85.0,110.0,100.0,100.0,6,15,6826.0,2.79,2.276,1.755,1.442,1.21,1.021,0.874,0.0,0.0,69.0,68.2,77.1,75.3,0.325,0.325,0.325,0.325,226.4727,226.4749,233.6023,233.6023,0.2754,0.2758,0.2819,0.2822,100834,100834,23523466,1,2,7500,8000,302,3352,1,0,0,1,1,0,0,0,0,-16.6302,0.0034,0.1488
14676,2,0,-0.888,19.3823,-191.4701,57.4465,0.016,-46.0549,265.06,0.005944,-0.432615,-0.007127,0.901531,0.001,0.0006,0.0112,0.0323,100.0,0.0,0.0,1.0,0.001785,-0.221502,0.000611,1.44387,6828.0,1.9813,6.7472,85.0,110.0,100.0,100.0,6,15,6828.0,2.79,2.276,1.755,1.442,1.21,1.021,0.874,0.0,0.0,69.0,68.2,77.1,75.3,0.325,0.325,0.325,0.325,226.5484,226.5514,233.6799,233.6799,0.2754,0.276,0.282,0.282,100834,100834,23523483,1,2,7500,8000,302,3352,1,0,0,1,1,0,0,0,0,-16.6435,0.0049,0.1493
14677,2,0,0.0707,19.3825,-192.2386,57.4649,0.0154,-46.0705,265.15,0.005914,-0.432613,-0.007033,0.901533,0.0017,0.0004,0.0117,0.0323,100.0,0.0,0.0,1.0,0.001785,-0.212148,-0.045218,1.420246,6831.0,1.9812,6.7477,85.0,110.0,100.0,100.0,6,15,6831.0,2.79,2.276,1.755,1.442,1.21,1.021,0.874,0.0,0.0,69.0,68.2,77.1,75.3,0.325,0.325,0.325,0.325,226.624,226.6259,233.7803,233.7803,0.2753,0.2759,0.2821,0.2821,100834,100834,23523500,1,2,7500,8000,302,3352,1,0,0,1,1,0,0,0,0,-16.6845,0.0033,0.1477
14678,2,0,1.0298,19.3828,-193.0075,57.484,0.015,-46.0868,265.24,0.005865,-0.432611,-0.006922,0.901535,0.0004,0.0003,0.0145,0.0321,100.0,0.0,0.0,1.0,0.001785,-0.214279,-0.031563,1.480502,6833.0,1.981,6.7482,85.0,110.0,100.0,100.0,6,15,6833.0,2.79,2.276,1.755,1.442,1.21,1.021,0.874,0.0,0.0,69.0,68.2,77.1,75.3,0.325,0.325,0.325,0.325,226.7003,226.7014,233.8414,233.8414,0.2755,0.2759,0.2821,0.2823,100834,100834,23523516,1,2,7500,8000,302,3352,1,0,0,1,1,0,0,0,0,-16.7068,0.0019,0.1535
14679,2,0,1.9892,19.3831,-193.7766,57.5033,0.0185,-46.1035,265.33,0.005819,-0.43261,-0.006842,0.901536,-0.0009,0.0003,0.0111,0.0323,100.0,0.0,0.0,1.0,0.001785,-0.235791,0.201248,1.496056,6834.0,1.9809,6.7486,85.0,110.0,100.0,100.0,6,15,6834.0,2.79,2.276,1.755,1.442,1.21,1.021,0.874,0.0,0.0,69.0,68.2,77.1,75.3,0.325,0.325,0.325,0.325,226.7771,226.7784,233.8918,233.8918,0.2756,0.2756,0.2819,0.2822,100834,100834,23523533,1,2,7500,8000,302,3352,1,0,0,1,1,0,0,0,0,-16.7249,0.002,0.1556
14680,2,0,2.9489,19.3834,-194.546,57.522,0.0172,-46.1196,265.42,0.005784,-0.432606,-0.006795,0.901539,-0.0013,0.0006,0.0069,0.0323,100.0,0.0,0.0,1.0,0.001785,-0.220267,-0.084829,1.454149,6837.0,1.9809,6.749,85.0,110.0,100.0,100.0,6,15,6837.0,2.79,2.276,1.755,1.442,1.21,1.021,0.874,0.0,0.0,69.0,68.2,77.1,75.3,0.325,0.325,0.325,0.325,226.8517,226.8545,233.989,233.989,0.2754,0.2757,0.2821,0.2822,100834,100834,23523550,1,2,7500,8000,302,3352,1,0,0,1,1,0,0,0,0,-16.7588,0.0042,0.1506
14681,2,0,3.9089,19.3837,-195.3156,57.5421,0.0202,-46.1359,265.51,0.005746,-0.432604,-0.006745,0.901541,-0.0015,0.0003,0.0074,0.0326,100.0,0.0,0.0,1.0,0.001785,-0.186005,0.170979,1.528189,6838.0,1.9809,6.7495,85.0,110.0,100.0,100.0,6,15,6838.0,2.79,2.276,1.755,1.442,1.21,1.021,0.874,0.0,0.0,69.0,68.2,77.1,75.3,0.325,0.325,0.325,0.325,226.9318,226.9335,234.0399,234.0399,0.2751,0.2753,0.2821,0.2818,100834,100834,23523566,1,2,7500,8000,302,3352,1,0,0,1,1,0,0,0,0,-16.7654,0.0025,0.1585
14682,2,0,4.8692,19.384,-196.0856,57.5614,0.0163,-46.1518,265.6,0.005722,-0.432602,-0.006754,0.901542,-0.0031,0.0001,0.0003,0.0326,100.0,0.0,0.0,1.0,0.001785,-0.186679,-0.241863,1.477324,6841.0,1.9808,6.75,85.0,110.0,100.0,100.0,6,15,6841.0,2.79,2.276,1.755,1.442,1.21,1.021,0.874,0.0,0.0,69.0,68.2,77.1,75.3,0.325,0.325,0.325,0.325,227.0074,227.0084,234.1416,234.1416,0.2754,0.2754,0.2818,0.2819,100834,100834,23523583,1,2,7500,8000,302,3352,1,0,0,1,1,0,0,0,0,-16.7687,0.0008,0.1528
